Station,OMM ID,OACI ID,Lat,Long,00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00
Yaounde,64950,FKYS,03°50N,011°31E,930.2783,929.7397,930.5676,931.4058,928.5176,925.8957,929.0854,930.7338
Douala,64910,FKKD,04°00N,009°44E,*,*,*,*,*,*,*,*
Garoua,64860,FKKR,09°20N,013°23E,979.7773,979.4847,981.7227,982.3198,979.0986,975.8347,978.3014,979.9328
Maroua,64851,FKKL,10°27’ N,14°15’ E,962.4352,961.8867,963.8837,964.6767,962.0646,959.1037,961.4464,962.7498
Ngaoundere,64870,FKKN,07°21N,013°34E,889.6512,888.5327,890.0356,890.5017,888.1417,886.0237,888.9214,890.4208
Bafoussam,64894,FKKU,05°32’05 N,010°21’15 E,871.1833,870.0627,871.6027,872.1998,869.7606,867.2417,870.0524,871.8887
Bertoua,64930,FKKO,04°36N,013°44E,933.2983,932.4217,933.8506,934.3908,931.1577,928.1847,930.8405,932.9238
Bamenda,64892,FKKV,06°03N,010°07E,873.8692,872.4927,873.8066,874.4767,871.7536,869.2897,872.8555,874.6868
