Station,OMM ID,OACI ID,Lat,Long,00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00
Yaounde,64950,FKYS,03°50N,011°31E,94.5434,90.14176,90.39252,54.54345,33.51591,45.0194,60.9641,79.47472
Douala,64910,FKKD,04°00N,009°44E,*,*,*,*,*,*,*,*
Garoua,64860,FKKR,09°20N,013°23E,16.14377,18.45571,19.2371,11.90664,8.537706,8.181383,12.35657,14.98635
Maroua,64851,FKKL,10°27’ N,14°15’ E,20.94815,23.37261,23.40213,13.45559,9.555503,9.072131,14.20318,14.69676
Ngaoundere,64870,FKKN,07°21N,013°34E,21.97756,20.90649,23.15677,13.43818,12.56398,13.45516,20.06234,25.06882
Bafoussam,64894,FKKU,05°32’05 N,010°21’15 E,54.31291,40.81834,33.04401,14.43057,14.2319,15.92991,32.71572,54.80688
Bertoua,64930,FKKO,04°36N,013°44E,58.7247,72.48927,91.94709,50.12093,21.81654,23.29028,38.14987,54.47817
Bamenda,64892,FKKV,06°03N,010°07E,32.06844,29.25263,26.58062,13.3404,12.27495,13.37416,28.70552,34.51288
