Station,OMM ID,OACI ID,Lat,Long,00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00
Yaounde,64950,FKYS,03°50N,011°31E,20.53231201,20.88961182,20.56200562,28.19057617,32.79055176,28.80306396,24.12526855,22.51067505
Douala,64910,FKKD,04°00N,009°44E,*,*,*,*,*,*,*,*
Garoua,64860,FKKR,09°20N,013°23E,22.69231567,20.52959595,20.26201782,29.55059204,35.92055664,37.19307861,29.08526001,25.92067871
Maroua,64851,FKKL,10°27’ N,14°15’ E,21.88231812,20.06960449,19.83202515,27.78057251,32.96056519,34.56307373,25.97527466,24.92067871
Ngaoundere,64870,FKKN,07°21N,013°34E,17.82232056,17.19960938,17.15200195,28.93059692,32.38057861,31.21306763,22.35527954,18.47069702
Bafoussam,64894,FKKU,05°32’05 N,010°21’15 E,16.16231689,15.29961548,15.12200317,28.41057739,31.97057495,31.2930542,21.53527222,18.26067505
Bertoua,64930,FKKO,04°36N,013°44E,19.95232544,18.64962158,18.81200562,28.84060059,37.50057373,34.05306396,25.17528687,21.30068359
Bamenda,64892,FKKV,06°03N,010°07E,16.23232422,15.73961792,15.93200073,29.24059448,33.15056763,32.20305786,20.64528809,17.94069824
